date,country,energy_price_index
2022-08-01,ES,171.45
2022-09-01,ES,152.9
2022-10-01,ES,130.82
2022-11-01,ES,119.63
2022-12-01,ES,121.46
2023-01-01,ES,108.13
2023-02-01,ES,116.5
2023-03-01,ES,109.96
2023-04-01,ES,104.28
2023-05-01,ES,103.07
2023-06-01,ES,105.24
2023-07-01,ES,105.05
2023-08-01,ES,104.4
2023-09-01,ES,105.35
2023-10-01,ES,103.06
2023-11-01,ES,98.67
2023-12-01,ES,99.97
2015-01-01,FR,101.0
2015-02-01,FR,101.64
2015-03-01,FR,101.06
2015-04-01,FR,101.09
2015-05-01,FR,100.29
2015-06-01,FR,99.94
2015-07-01,FR,99.0
2015-08-01,FR,99.08
2015-09-01,FR,99.36
2015-10-01,FR,99.67
2015-11-01,FR,99.36
2015-12-01,FR,98.51
2016-01-01,FR,98.8
2016-02-01,FR,98.13
2016-03-01,FR,97.94
2016-04-01,FR,97.12
2016-05-01,FR,97.99
2016-06-01,FR,98.64
2016-07-01,FR,98.2
2016-08-01,FR,97.96
2016-09-01,FR,98.42
2016-10-01,FR,98.92
2016-11-01,FR,99.63
2016-12-01,FR,100.64
2017-01-01,FR,103.05
2017-02-01,FR,102.92
2017-03-01,FR,103.28
2017-04-01,FR,102.9
2017-05-01,FR,101.72
2017-06-01,FR,101.32
2017-07-01,FR,100.01
2017-08-01,FR,100.85
2017-09-01,FR,101.24
2017-10-01,FR,102.15
2017-11-01,FR,102.99
2017-12-01,FR,103.59
2018-01-01,FR,106.62
2018-02-01,FR,106.97
2018-03-01,FR,106.21
2018-04-01,FR,106.22
2018-05-01,FR,107.02
2018-06-01,FR,107.7
2018-07-01,FR,109.52
2018-08-01,FR,109.31
2018-09-01,FR,109.94
2018-10-01,FR,111.55
2018-11-01,FR,113.12
2018-12-01,FR,111.97
2019-01-01,FR,110.8
2019-02-01,FR,111.41
2019-03-01,FR,111.79
2019-04-01,FR,111.18
2019-05-01,FR,111.29
2019-06-01,FR,113.87
2019-07-01,FR,112.23
2019-08-01,FR,112.79
2019-09-01,FR,112.73
2019-10-01,FR,112.51
2019-11-01,FR,112.93
2019-12-01,FR,113.39
2020-01-01,FR,113.79
2020-02-01,FR,113.37
2020-03-01,FR,111.39
2020-04-01,FR,109.31
2020-05-01,FR,108.0
2020-06-01,FR,108.22
2020-07-01,FR,108.04
2020-08-01,FR,108.99
2020-09-01,FR,108.82
2020-10-01,FR,109.36
2020-11-01,FR,109.95
2020-12-01,FR,110.85
2021-01-01,FR,111.91
2021-02-01,FR,114.02
2021-03-01,FR,115.84
2021-04-01,FR,115.0
2021-05-01,FR,115.45
2021-06-01,FR,116.61
2021-07-01,FR,119.18
2021-08-01,FR,120.58
2021-09-01,FR,122.68
2021-10-01,FR,128.39
2021-11-01,FR,131.11
2021-12-01,FR,131.55
2022-01-01,FR,133.53
2022-02-01,FR,137.09
2022-03-01,FR,144.07
2022-04-01,FR,146.1
2022-05-01,FR,147.32
2022-06-01,FR,149.84
2022-07-01,FR,150.76
2022-08-01,FR,149.29
2022-09-01,FR,152.74
2022-10-01,FR,160.86
2022-11-01,FR,161.73
2022-12-01,FR,155.99
2023-01-01,FR,156.99
2023-02-01,FR,161.94
2023-03-01,FR,163.23
2023-04-01,FR,161.62
2023-05-01,FR,159.53
2023-06-01,FR,159.23
2023-07-01,FR,154.02
2023-08-01,FR,164.09
2023-09-01,FR,166.16
2023-10-01,FR,167.33
2023-11-01,FR,167.7
2023-12-01,FR,167.83
2015-01-01,IT,101.5
2015-02-01,IT,101.5
2015-03-01,IT,101.5
2015-04-01,IT,99.3
2015-05-01,IT,99.3
2015-06-01,IT,99.3
2015-07-01,IT,98.8
2015-08-01,IT,98.7
2015-09-01,IT,98.5
2015-10-01,IT,100.5
2015-11-01,IT,100.6
2015-12-01,IT,100.6
2016-01-01,IT,99.0
2016-02-01,IT,98.8
2016-03-01,IT,98.7
2016-04-01,IT,93.3
2016-05-01,IT,93.0
2016-06-01,IT,92.9
2016-07-01,IT,93.3
2016-08-01,IT,93.2
2016-09-01,IT,94.9
2016-10-01,IT,95.0
2016-11-01,IT,95.0
2016-12-01,IT,95.2
2017-01-01,IT,96.5
2017-02-01,IT,97.5
2017-03-01,IT,97.8
2017-04-01,IT,98.3
2017-05-01,IT,98.1
2017-06-01,IT,98.0
2017-07-01,IT,97.4
2017-08-01,IT,97.4
2017-09-01,IT,97.4
2017-10-01,IT,98.3
2017-11-01,IT,98.4
2017-12-01,IT,98.5
2018-01-01,IT,102.2
2018-02-01,IT,102.3
2018-03-01,IT,102.3
2018-04-01,IT,97.3
2018-05-01,IT,97.2
2018-06-01,IT,97.2
2018-07-01,IT,102.6
2018-08-01,IT,102.6
2018-09-01,IT,102.7
2018-10-01,IT,108.1
2018-11-01,IT,108.2
2018-12-01,IT,108.2
2019-01-01,IT,110.3
2019-02-01,IT,110.3
2019-03-01,IT,110.2
2019-04-01,IT,103.8
2019-05-01,IT,103.6
2019-06-01,IT,103.5
2019-07-01,IT,100.7
2019-08-01,IT,101.0
2019-09-01,IT,100.8
2019-10-01,IT,102.9
2019-11-01,IT,103.1
2019-12-01,IT,103.2
2020-01-01,IT,102.9
2020-02-01,IT,102.6
2020-03-01,IT,102.4
2020-04-01,IT,93.0
2020-05-01,IT,91.9
2020-06-01,IT,92.0
2020-07-01,IT,90.3
2020-08-01,IT,90.8
2020-09-01,IT,90.8
2020-10-01,IT,97.0
2020-11-01,IT,97.4
2020-12-01,IT,97.6
2021-01-01,IT,100.9
2021-02-01,IT,100.8
2021-03-01,IT,101.1
2021-04-01,IT,103.7
2021-05-01,IT,104.4
2021-06-01,IT,104.5
2021-07-01,IT,110.3
2021-08-01,IT,111.8
2021-09-01,IT,111.9
2021-10-01,IT,123.0
2021-11-01,IT,130.4
2021-12-01,IT,131.4
2022-01-01,IT,158.5
2022-02-01,IT,170.4
2022-03-01,IT,173.4
2022-04-01,IT,166.4
2022-05-01,IT,172.1
2022-06-01,IT,176.7
2022-07-01,IT,175.5
2022-08-01,IT,197.2
2022-09-01,IT,198.5
2022-10-01,IT,289.3
2022-11-01,IT,300.0
2022-12-01,IT,295.1
2023-01-01,IT,265.1
2023-02-01,IT,239.7
2023-03-01,IT,203.4
2023-04-01,IT,201.0
2023-05-01,IT,202.3
2023-06-01,IT,186.2
2023-07-01,IT,179.4
2023-08-01,IT,175.2
2023-09-01,IT,175.6
2023-10-01,IT,176.8
2023-11-01,IT,173.1
2023-12-01,IT,171.0
