country,date,energy
DE,2014-07,0.24894444444444447
DE,2014-08,0.24879259259259262
DE,2014-09,0.24864074074074075
DE,2014-10,0.2484888888888889
DE,2014-11,0.24833703703703705
DE,2014-12,0.24818518518518518
DE,2015-01,0.24803333333333333
DE,2015-02,0.2479588888888889
DE,2015-03,0.24788444444444444
DE,2015-04,0.24781
DE,2015-05,0.24773555555555557
DE,2015-06,0.2476611111111111
DE,2015-07,0.24758666666666668
DE,2015-08,0.24822444444444447
DE,2015-09,0.24886222222222223
DE,2015-10,0.24950000000000003
DE,2015-11,0.2501377777777778
DE,2015-12,0.2507755555555556
DE,2016-01,0.2514133333333334
DE,2016-02,0.25135222222222225
DE,2016-03,0.25129111111111113
DE,2016-04,0.25123000000000006
DE,2016-05,0.25116888888888894
DE,2016-06,0.2511077777777778
DE,2016-07,0.2510466666666667
DE,2016-08,0.2514777777777778
DE,2016-09,0.2519088888888889
DE,2016-10,0.25234
DE,2016-11,0.25277111111111117
DE,2016-12,0.2532022222222223
DE,2017-01,0.2536333333333334
DE,2017-02,0.25356222222222224
DE,2017-03,0.2534911111111111
DE,2017-04,0.25342
DE,2017-05,0.2533488888888889
DE,2017-06,0.25327777777777777
DE,2017-07,0.25320666666666664
DE,2017-08,0.2527485185185185
DE,2017-09,0.25229037037037033
DE,2017-10,0.25183222222222224
DE,2017-11,0.2513740740740741
DE,2017-12,0.25091592592592593
DE,2018-01,0.2504577777777778
DE,2018-02,0.2504148148148148
DE,2018-03,0.25037185185185185
DE,2018-04,0.25032888888888893
DE,2018-05,0.25028592592592597
DE,2018-06,0.250242962962963
DE,2018-07,0.25020000000000003
DE,2018-08,0.25167925925925927
DE,2018-09,0.25315851851851856
DE,2018-10,0.2546377777777778
DE,2018-11,0.25611703703703703
DE,2018-12,0.2575962962962963
DE,2019-01,0.25907555555555556
DE,2019-02,0.25532444444444446
DE,2019-03,0.2515733333333333
DE,2019-04,0.24782222222222222
DE,2019-05,0.2440711111111111
DE,2019-06,0.24032
DE,2019-07,0.23656888888888888
DE,2019-08,0.23922296296296297
DE,2019-09,0.24187703703703703
DE,2019-10,0.24453111111111112
DE,2019-11,0.2471851851851852
DE,2019-12,0.24983925925925926
DE,2020-01,0.25249333333333335
DE,2020-02,0.2514411111111111
DE,2020-03,0.2503888888888889
DE,2020-04,0.24933666666666668
DE,2020-05,0.24828444444444445
DE,2020-06,0.24723222222222224
DE,2020-07,0.24618
DE,2020-08,0.24761481481481482
DE,2020-09,0.24904962962962965
DE,2020-10,0.25048444444444445
DE,2020-11,0.2519192592592593
DE,2020-12,0.25335407407407406
DE,2021-01,0.2547888888888889
DE,2021-02,0.2553955555555556
DE,2021-03,0.25600222222222224
DE,2021-04,0.2566088888888889
DE,2021-05,0.2572155555555556
DE,2021-06,0.2578222222222223
DE,2021-07,0.25842888888888893
DE,2021-08,0.26093740740740745
DE,2021-09,0.26344592592592597
DE,2021-10,0.2659544444444445
DE,2021-11,0.26846296296296296
DE,2021-12,0.2709714814814815
DE,2022-01,0.27348
DE,2022-02,0.2778274074074074
DE,2022-03,0.2821748148148148
DE,2022-04,0.28652222222222223
DE,2022-05,0.2908696296296296
DE,2022-06,0.295217037037037
DE,2022-07,0.2995644444444444
DE,2022-08,0.30948148148148147
DE,2022-09,0.3193985185185185
DE,2022-10,0.3293155555555556
DE,2022-11,0.3392325925925926
DE,2022-12,0.34914962962962964
DE,2023-01,0.3590666666666667
DE,2023-02,0.3582411111111111
DE,2023-03,0.3574155555555556
DE,2023-04,0.35659
DE,2023-05,0.35576444444444444
DE,2023-06,0.3549388888888889
DE,2023-07,0.35411333333333334
DE,2023-08,0.35329222222222223
DE,2023-09,0.3524711111111111
DE,2023-10,0.35165
DE,2023-11,0.35082888888888886
DE,2023-12,0.35000777777777775
DE,2024-01,0.34918666666666665
DE,2024-02,0.34927185185185183
DE,2024-03,0.349357037037037
DE,2024-04,0.3494422222222222
DE,2024-05,0.3495274074074074
DE,2024-06,0.3496125925925926
DE,2024-07,0.3496977777777778
DE,2024-08,0.3477174074074074
DE,2024-09,0.34573703703703706
DE,2024-10,0.3437566666666667
DE,2024-11,0.3417762962962963
DE,2024-12,0.33979592592592595
DE,2025-01,0.3378155555555556
DE,2025-02,0.338432962962963
DE,2025-03,0.3390503703703704
DE,2025-04,0.3396677777777778
DE,2025-05,0.3402851851851852
DE,2025-06,0.3409025925925926
DE,2025-07,0.34152
ES,2014-07,0.24769777777777777
ES,2014-08,0.2484337037037037
ES,2014-09,0.24916962962962963
ES,2014-10,0.24990555555555555
ES,2014-11,0.25064148148148147
ES,2014-12,0.25137740740740744
ES,2015-01,0.25211333333333336
ES,2015-02,0.25415037037037036
ES,2015-03,0.2561874074074074
ES,2015-04,0.2582244444444445
ES,2015-05,0.2602614814814815
ES,2015-06,0.2622985185185185
ES,2015-07,0.26433555555555555
ES,2015-08,0.2619648148148148
ES,2015-09,0.25959407407407403
ES,2015-10,0.2572233333333333
ES,2015-11,0.2548525925925926
ES,2015-12,0.2524818518518518
ES,2016-01,0.25011111111111106
ES,2016-02,0.2500122222222222
ES,2016-03,0.2499133333333333
ES,2016-04,0.24981444444444442
ES,2016-05,0.24971555555555555
ES,2016-06,0.24961666666666665
